establecimiento_nombre,provincia_nombre,establecimiento_id,localidad_nombre,departamento_nombre,cp
PUESTO EL TORO (17),JUJUY,50380842150137,EL TORO,SUSQUES,4643
PUESTO BARRO NEGRO (9) (EX LOTE ROSARIO DE RIO GRANDE),JUJUY,50380632150075,LA MENDIETA,SAN PEDRO,4522
KIN SPORT,CHUBUT,50260212329179,COMODORO RIVADAVIA,ESCALANTE,3240
LABORATORIO ANALISIS CLINICOS GEROSA,CHUBUT,51260352329290,ESQUEL,FUTALEUFÚ,9200
LABORATORIO ANALISIS CLINICOS,CHUBUT,51260352329289,ESQUEL,FUTALEUFÚ,9200
LABORATORIO DRA. SALVAGNO,CHUBUT,51260352329293,ESQUEL,FUTALEUFÚ,9200
LABORATORIO DE HISTOPATOLOGIA Y CITOLOGIA,CHUBUT,51260212329299,COMODORO RIVADAVIA,ESCALANTE,9000
LABORATORIO DE ANALISIS CLINICOS (STROBL),CHUBUT,51260212329297,COMODORO RIVADAVIA,ESCALANTE,9000
INSAT  - LABORATORIO DE ANATOMIA PATOLOGICA,CHUBUT,51260212329298,COMODORO RIVADAVIA,ESCALANTE,9000
LITIASIS CENTRO CHUBUT,CHUBUT,52260212329318,COMODORO RIVADAVIA,ESCALANTE,9000
ODONTOLOGIA DEL PLATA,CHUBUT,50260212329186,COMODORO RIVADAVIA,ESCALANTE,9000
ODONTOLOGIA INTEGRAL,CHUBUT,50260212329187,COMODORO RIVADAVIA,ESCALANTE,3240
C.A.P.S. PUERTO ARGENTINO 1,MISIONES,50541122265191,SAN PEDRO,SAN PEDRO,3364
OSECAC (COMODORO RIVADAVIA),CHUBUT,50260212329190,COMODORO RIVADAVIA,ESCALANTE,9000
PATAGONIA SALUD -P.S.M.T.-  (MEDICINA DEL TRABAJO),CHUBUT,50260212329192,COMODORO RIVADAVIA,ESCALANTE,9000
PUESTO SANITARIO CHACAY OESTE,CHUBUT,50261052129207,GAN GAN,TELSEN,9121
PUESTO SANITARIO CURRUMAHUIDA,CHUBUT,50260142129210,EL HOYO,CUSHAMEN,8431
PUESTO SANITARIO LAS GOLONDRINAS,CHUBUT,50260142129229,LAGO PUELO,CUSHAMEN,9211
PUESTO SANITARIO FOFO CAHUEL,CHUBUT,50260142129220,FOFO CAHUEL,CUSHAMEN,9213
PUESTO SANITARIO LA CATARATA,CHUBUT,50260142129223,BUENOS AIRES CHICO,CUSHAMEN,9210
CENTRO MEDICO MADEROMED,CABA,50020012315826,PUERTO MADERO,COMUNA 1,1007
CENTRO ODONTOLOGICO URQUIZA,CABA,50020012315856,SAN CRISTOBAL,COMUNA 3,1221
PUESTO SANITARIO COLONIA SIEGEL (HOSP SUNCHO CORRAL),SANTIAGO DEL ESTERO,50861822192547,COLONIA SIEGEL,SARMIENTO,4356
LABORATORIO DE ANALISIS CLINICOS SILVANA ACTIS GIORGETTO,LA PAMPA,51421052353340,GENERAL PICO,MARACÓ,6360
CEM CENTRO DE EMERGENCIAS MEDICAS BASE BARADERO,BUENOS AIRES,53060702303264,BARADERO,BARADERO,2942
SOREMER S.A.,TUCUMÁN,53900842396826,SAN MIGUEL DE TUCUMAN,CAPITAL,4000
SERVICIO PRIVADO DE HEMOTERAPIA (HEMOSS),TUCUMÁN,50900212396556,CONCEPCION,CHICLIGASTA,4146
CENTRO DE SALUD BARRIO CIUDAD DE LOS MILAGROS BARRANQUERAS,CHACO,50221402126128,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD VILLA GHIO DR. ALVAREZ LOTERO,CHACO,50221402126478,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD CACIQUE PELAYO,CHACO,50221402126172,FONTANA,SAN FERNANDO,3514
CENTRO DE SALUD BARRIO ESPAÑA,CHACO,50221402126140,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD DOCTORA GRIERSON,CHACO,50221402126141,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD BARRIO EL CEIBO,CHACO,50220362126139,GENERAL PINEDO,12 DE OCTUBRE,3732
CENTRO AXIS MEDICINA Y REHABILITACION,NEUQUÉN,52580352367218,NEUQUEN,CONFLUENCIA,8300
